"features.plot"	"id"	"RNA.pct.exp"	"RNA.avg.exp"	"RNA.avg.exp.log2p1"	"RNA.avg.exp.scaled"	"ADT.pct.exp.sup.0"	"ADT.pct.exp.sup.cutoff"	"ADT.avg.exp"	"ADT.avg.exp.log2p1"	"ADT.avg.exp.scaled"	"canonical_marker"
"CD3E"	"Natural killer lymphocytes"	14	1.13	1.09	-0.44	100	5	0.48	0.56	-0.67	"no"
"CD4"	"Natural killer lymphocytes"	5	0.16	0.21	-0.65	100	7	0.52	0.61	-0.74	"no"
"CD8A"	"Natural killer lymphocytes"	11	0.86	0.9	0.59	100	61	10.02	3.46	0.19	"no"
"PTPRC (CD45RA)"	"Natural killer lymphocytes"	62	6.12	2.83	0.91	100	100	7.46	3.08	2.5	"no"
"NCAM1 (CD56)"	"Natural killer lymphocytes"	6	0.35	0.43	2.5	100	87	4.94	2.57	2.5	"yes"
"FCGR3A (CD16)"	"Natural killer lymphocytes"	65	8.12	3.19	1.33	100	85	4.42	2.44	1.77	"no"
"ITGAX (CD11c)"	"Natural killer lymphocytes"	7	0.32	0.4	0.59	100	21	2.91	1.97	0.07	"no"
"CD14"	"Natural killer lymphocytes"	9	0.48	0.56	-0.29	100	19	0.95	0.96	-0.24	"no"
"CD19"	"Natural killer lymphocytes"	0	0.02	0.03	-0.29	100	65	2.34	1.74	-0.09	"no"
"CD34"	"Natural killer lymphocytes"	0	0	0	-0.3	100	7	1.19	1.13	-0.3	"no"
"CCR5 (CD195)"	"Natural killer lymphocytes"	0	0.02	0.03	-0.06	100	13	1.79	1.48	0.68	"no"
"CCR7 (CD197)"	"Natural killer lymphocytes"	3	0.12	0.17	-0.69	100	3	0.91	0.93	-0.48	"no"
"CD3E"	"CD14+ Monocytes"	3	0.18	0.24	-0.72	100	3	0.54	0.62	-0.64	"no"
"CD4"	"CD14+ Monocytes"	19	1.06	1.04	0.37	100	4	0.83	0.87	-0.56	"no"
"CD8A"	"CD14+ Monocytes"	0	0.01	0.01	-0.4	100	9	1.16	1.11	-0.37	"no"
"PTPRC (CD45RA)"	"CD14+ Monocytes"	59	4.98	2.58	0.27	100	12	0.44	0.52	-1.03	"no"
"NCAM1 (CD56)"	"CD14+ Monocytes"	0	0.01	0.02	-0.26	100	19	1.36	1.24	-0.15	"no"
"FCGR3A (CD16)"	"CD14+ Monocytes"	5	0.23	0.3	-0.41	100	6	0.96	0.97	-0.46	"no"
"ITGAX (CD11c)"	"CD14+ Monocytes"	11	0.57	0.65	1.78	100	97	5.66	2.74	1.05	"yes"
"CD14"	"CD14+ Monocytes"	67	7.53	3.09	2.5	100	97	2.01	1.59	1.39	"yes"
"CD19"	"CD14+ Monocytes"	0	0.01	0.02	-0.31	100	2	0.73	0.79	-0.4	"no"
"CD34"	"CD14+ Monocytes"	0	0	0.01	-0.3	100	10	1.52	1.33	-0.03	"no"
"CCR5 (CD195)"	"CD14+ Monocytes"	0	0.02	0.02	-0.09	100	3	1.08	1.05	-0.5	"no"
"CCR7 (CD197)"	"CD14+ Monocytes"	1	0.05	0.07	-0.77	100	1	0.94	0.96	-0.41	"no"
"CD3E"	"Megakaryocytes"	27	2.45	1.79	-0.06	100	35	2.24	1.7	0.06	"no"
"CD4"	"Megakaryocytes"	14	0.59	0.67	-0.16	100	39	2.03	1.6	0.14	"no"
"CD8A"	"Megakaryocytes"	1	0.03	0.04	-0.38	100	30	5.06	2.6	-0.13	"no"
"PTPRC (CD45RA)"	"Megakaryocytes"	55	4.36	2.42	-0.08	100	52	2.26	1.71	-0.11	"no"
