"genes.plot"	"id"	"pct.exp"	"pct.exp2"	"pct.exp100"	"avg.exp"	"avg.exp.scale"	"abs_avg_exp_scale"	"avg_logFC"	"avg_logFC2"	"p_val_adj"	"p_val_adj2"	"pval_symb"
"LDHB"	"CD4+ T cells"	0.924413553431798	0.92	92	13.787390449497	2.21330939998374	2.21330939998374	1.14880456406278	1.15	2.01460578174786e-230	"2,00E-230"	"<1e-100"
"CD3D"	"CD4+ T cells"	0.869678540399652	0.87	87	10.9083613308292	1.35213948848781	1.35213948848781	1.0446490833112	1.04	1.31943405106145e-183	"1.3e-183"	"<1e-100"
"CD3E"	"CD4+ T cells"	0.76889661164205	0.77	77	7.55692395091718	1.55242629393768	1.55242629393768	0.971866895366987	0.97	2.8003465544197e-139	"2.8e-139"	"<1e-100"
"IL7R"	"CD4+ T cells"	0.662033014769765	0.66	66	6.73379672872483	1.8077168853318	1.8077168853318	1.06769814023582	1.07	4.24306258840336e-125	"4.2e-125"	"<1e-100"
"MAL"	"CD4+ T cells"	0.271937445699392	0.27	27	1.76432435449521	2.45622988068679	2.45622988068679	0.909077909006236	0.91	7.4040124698374e-72	"7.4e-72"	"<1e-50"
"S100A9"	"CD4+ T cells"	0.158992180712424	0.16	16	0.738952446708223	-0.44893013156258	0.44893013156258	-3.29258658940099	-3.29	4.98463648895106e-99	"5,00E-99"	"<1e-50"
"S100A8"	"CD4+ T cells"	0.0973066898349262	0.1	10	0.454807585642547	-0.409411668347888	0.409411668347888	-2.92627938389143	NA	4.37049776270126e-81	NA	"<1e-50"
"LGALS2"	"CD4+ T cells"	0.0330147697654214	0.03	3	0.142202195526371	-0.546332680800971	0.546332680800971	-1.84466100707938	NA	2.26411907894992e-87	NA	"<1e-50"
"FCN1"	"CD4+ T cells"	0.104257167680278	0.1	10	0.492113652159571	-0.569949641589275	0.569949641589275	-2.01452771046287	-2.01	1.4401024326319e-91	"1.4e-91"	"<1e-50"
"LYZ"	"CD4+ T cells"	0.500434404865335	0.5	50	3.06591966137941	-0.611301481633454	0.611301481633454	-2.81232031617444	-2.81	8.05288135209401e-80	"8.1e-80"	"<1e-50"
"CD79A"	"CD4+ T cells"	0.0477845351867941	0.05	5	0.232031632247836	-0.3539205665445	0.3539205665445	-1.63574309039306	NA	7.12398941668457e-42	NA	"<1e-10"
"MS4A1"	"CD4+ T cells"	0.0469157254561251	0.05	5	0.211244444297304	-0.367391531092499	0.367391531092499	-1.16587318157435	NA	2.50331767986223e-41	NA	"<1e-10"
